name,year,country,genre,director,rating
Старикам тут не место,2007,США,"триллер, драма, криминал, вестерн","Итан Коэн, Джоэл Коэн",7.8
Милые кости,2009,"США, Великобритания, Новая Зеландия","фэнтези, триллер, драма, криминал, детектив",Питер Джексон,7.1
Люди Икс,2000,США,"фантастика, боевик, приключения",Брайан Сингер,7.7
Плохие парни навсегда,2020,"США, Мексика","боевик, триллер, комедия, криминал","Адиль Эль Арби, Билал Фалла",6.6
LOL [ржунимагу],2008,Франция,"мелодрама, комедия",Лиза Азуэлос,7.0
Девушка в подвале,2021,США,"ужасы, триллер, драма, криминал",Элизабет Рём,6.2
Дом у озера,2006,США,"фэнтези, драма, мелодрама",Алехандро Агрести,7.8
В роли Рикардо,2021,США,"драма, биография",Аарон Соркин,6.7
Митчеллы против машин,2020,"США, Гонконг","мультфильм, фантастика, комедия, приключения, семейный","Майкл Рианда, Джефф Роу",7.7
Искусственный разум,2001,"США, Великобритания","фантастика, драма",Стивен Спилберг,7.9
Вперёд,2019,США,"мультфильм, фэнтези, комедия, приключения, семейный",Дэн Скэнлон,7.8
Корпорация монстров,2001,США,"мультфильм, фэнтези, комедия, приключения, семейный","Пит Доктер, Дэвид Силверман, Ли Анкрич",8.1
Перелом,2019,США,"триллер, детектив",Брэд Андерсон,6.5
Мальчик в полосатой пижаме,2008,"Великобритания, США","драма, военный, история",Марк Херман,8.2
Реквием по мечте,2000,США,драма,Даррен Аронофски,8.0
Быстрее пули,2022,США,"боевик, триллер",Дэвид Литч,100%
Крик,1996,США,"ужасы, триллер, детектив",Уэс Крэйвен,7.3
Мулан,1998,США,"мультфильм, мюзикл, фэнтези, комедия, приключения, семейный, военный","Тони Бэнкрофт, Бэрри Кук",8.1
"Хроники Нарнии: Лев, колдунья и волшебный шкаф",2005,"Великобритания, США","фэнтези, приключения, семейный",Эндрю Адамсон,7.3
Казино Рояль,2006,"Великобритания, Чехия, США, Германия, Багамы","боевик, триллер, приключения",Мартин Кэмпбелл,7.8
Тачки,2006,США,"мультфильм, комедия, приключения, семейный, спорт","Джон Лассетер, Джо Рэнфт",7.5
Параллельные матери,2021,"Испания, Франция","драма, мелодрама",Педро Альмодовар,7.1
Райя и последний дракон,2021,США,"мультфильм, фэнтези, боевик, драма, комедия, приключения, семейный","Дон Холл, Карлос Лопес Эстрада, Пол Бриггс, ...",8.1
Схватка,1995,США,"боевик, драма, криминал",Майкл Манн,8.0
365 дней,2020,Польша,мелодрама,"Барбара Бяловас, Томаш Мандес",5.1
Пираты Карибского моря: Сундук мертвеца,2006,США,"фэнтези, боевик, приключения",Гор Вербински,8.1
Брюс Всемогущий,2003,США,"фэнтези, комедия, драма",Том Шэдьяк,7.7
Незнакомая дочь,2020,"США, Греция",драма,Мэгги Джилленхол,6.7
Королевство полной луны,2012,США,"семейный, комедия, драма, мелодрама",Уэс Андерсон,7.6
Скрежет,2022,"Финляндия, Швеция",ужасы,Ханна Бергхольм,6.0
Купе номер 6,2021,"Финляндия, Эстония, Россия, Германия","драма, мелодрама",Юхо Куосманен,6.8
Аферист из Tinder,2022,Великобритания,"документальный, криминал",Фелисити Моррис,7.1
Кими,2022,США,"триллер, драма, криминал",Стивен Содерберг,6.1
Джентльмены,2019,"Великобритания, США","криминал, комедия, боевик",Гай Ричи,8.5
Нормальный только я,2021,Россия,комедия,Антон Богданов,6.5
Прочь,2017,"США, Япония","ужасы, триллер, детектив",Джордан Пил,7.1
Громкое дело,2021,Нидерланды,"драма, криминал, биография",Сандер Бюргер,6.5
Дюна,2021,"США, Канада, Венгрия","фантастика, боевик, драма, приключения",Дени Вильнёв,7.7
Не отпускай,2019,США,"триллер, детектив, фантастика, криминал",Джейкоб Аарон Эстес,6.5
Запах женщины,1992,США,драма,Мартин Брест,8.4
Истребитель демонов: Поезд «Бесконечный»,2020,Япония,"аниме, мультфильм, боевик, фэнтези",Харуо Сотодзаки,7.8
Диктатор,2012,США,комедия,Ларри Чарльз,6.5
Земля кочевников,2020,"США, Германия",драма,Хлоя Чжао,7.3
Доктор Лиза,2020,Россия,"драма, биография",Оксана Карас,8.2
Мы — Миллеры,2013,"США, Великобритания","комедия, криминал",Роусон Маршалл Тёрбер,7.3
Лига справедливости,2017,"США, Канада, Великобритания","фантастика, боевик, фэнтези",Зак Снайдер,6.1
Линкольн для адвоката,2011,США,"криминал, триллер, драма, детектив",Брэд Фурман,7.8
По соображениям совести,2016,"Австралия, США","драма, военный, биография, история",Мэл Гибсон,8.1
Анна,2019,"Франция, США, Канада, Россия","боевик, триллер",Люк Бессон,6.1
Неисправимый Рон,2021,"США, Великобритания","мультфильм, фантастика, комедия, приключения, семейный","Сара Смит, Жан-Филипп Вине, Октавио Е. Родригес",7.6
Звездный путь,2009,"США, Германия","фантастика, боевик, приключения",Джей Джей Абрамс,7.7
Заклятие,2013,США,"ужасы, детектив",Джеймс Ван,7.4
Богемская рапсодия,2018,"Великобритания, США","биография, музыка, драма",Брайан Сингер,8.0
Воображариум доктора Парнаса,2009,"Великобритания, Франция, Канада","фэнтези, приключения, комедия, детектив",Терри Гиллиам,7.0
Flashback (ТВ,2021,Франция,"фантастика, комедия",Каролин Виньо,–
Невероятный мир глазами Энцо,2019,США,"драма, мелодрама, комедия, спорт, семейный",Саймон Кёртис,8.1
Кролик Джоджо,2019,"Новая Зеландия, Чехия, США","комедия, военный, история, драма",Тайка Вайтити,7.9
Враг государства,1998,США,"боевик, триллер",Тони Скотт,7.8
Миньоны: Грювитация,2022,США,"мультфильм, фантастика, комедия, криминал, приключения, семейный","Кайл Балда, Брэд Эблесон, Джонатан дель Валь",92%
Великий Гэтсби,2013,"Австралия, США","драма, мелодрама",Баз Лурман,7.9
Бумер,2003,Россия,"драма, криминал",Пётр Буслов,7.0
Смерть на Ниле,1978,Великобритания,"драма, криминал, детектив",Джон Гиллермин,7.6
Страх и ненависть в Лас-Вегасе,1998,США,"драма, комедия",Терри Гиллиам,7.6
Выживут только любовники,2013,"Великобритания, Германия, Греция, Франция","фэнтези, триллер, драма",Джим Джармуш,7.4
Монстры на каникулах,2012,США,"мультфильм, фэнтези, комедия, семейный",Генндий Тартаковский,7.6
Чудо-женщина: 1984,2020,"США, Великобритания, Испания","фэнтези, боевик, приключения, фантастика",Пэтти Дженкинс,6.1
Аллея кошмаров,2021,"США, Мексика, Канада","триллер, драма, криминал",Гильермо дель Торо,7.1
Мстители,2012,США,"фантастика, боевик, фэнтези, приключения",Джосс Уидон,7.9
Код Да Винчи,2006,"США, Мальта, Франция, Великобритания","триллер, детектив",Рон Ховард,7.3
Ворон,1994,США,"фэнтези, боевик, драма",Алекс Пройас,7.9
Зависнуть в Палм-Спрингс,2020,"США, Гонконг","комедия, мелодрама, фантастика",Макс Барбаков,7.3
Огонь,2020,Россия,"драма, боевик",Алексей Нужный,7.7
Мне бы в небо,2009,США,"драма, мелодрама, комедия",Джейсон Райтман,7.3
Призрачная шестёрка,2019,США,боевик,Майкл Бэй,6.1
Легенда,2015,"Великобритания, Франция, США","криминал, триллер, драма",Брайан Хелгеленд,7.2
Вторая жизнь Уве,2015,Швеция,"драма, мелодрама, комедия",Ханнес Холм,8.0
Виновный,2021,США,"триллер, криминал",Антуан Фукуа,6.5
Девушка в поезде,2016,США,"триллер, детектив, драма, криминал",Тейт Тейлор,6.6
Хранители,2009,США,"фантастика, боевик, драма, детектив",Зак Снайдер,7.6
Дедушка легкого поведения,2015,"США, Великобритания",комедия,Дэн Мазер,6.1
Иллюзия обмана,2013,"США, Франция","криминал, триллер, детектив",Луи Летерье,7.7
Звездная пыль,2007,"Великобритания, США","фэнтези, мелодрама, приключения, семейный",Мэттью Вон,7.7
Унесённые ветром,1939,США,"мелодрама, история, драма, военный","Виктор Флеминг, Джордж Кьюкор, Сэм Вуд",8.4
